sector_operacion,nivel_riesgo,tiempo_experiencia,horas_jornada,condicion_laboral,turno,clima_extremo,uso_epp,incidente_prev,grado_accidente
4,9,4,9,1,0,0,0,1,1
2,7,12,6,1,0,0,0,0,0
2,9,19,11,2,1,1,1,2,1
3,4,20,10,1,0,0,0,2,0
1,9,10,11,2,0,0,1,0,1
4,3,11,10,1,0,0,1,1,0
4,1,22,8,1,1,1,1,2,0
2,9,27,11,2,0,0,1,0,0
3,3,11,12,2,1,1,0,1,0
2,3,26,7,1,0,0,0,0,0
4,3,27,11,2,1,1,0,1,1
2,6,12,8,1,1,0,1,2,1
3,2,17,6,1,0,0,1,0,1
2,2,26,11,3,1,0,1,0,1
3,6,6,12,3,0,1,1,2,0
3,9,12,8,3,0,1,0,0,1
2,4,24,10,2,0,1,1,0,0
4,2,6,11,3,1,1,0,0,0
3,7,3,10,3,1,1,0,1,0
4,7,7,6,1,0,1,0,1,1
3,2,29,10,2,1,1,1,2,1
4,2,9,7,2,0,0,1,1,0
4,5,7,11,1,0,0,1,2,1
2,4,24,9,3,1,1,1,1,0
2,6,5,12,2,1,0,1,0,1
4,6,16,12,1,1,0,1,0,1
2,9,8,8,3,1,1,1,1,0
3,9,24,6,1,0,1,1,2,1
4,5,0,8,3,1,0,0,2,0
1,1,24,12,1,1,0,0,1,0
4,8,16,9,2,1,1,0,2,0
3,2,11,11,2,1,1,0,0,0
3,7,17,6,3,0,0,0,1,1
3,3,21,10,3,1,1,0,2,0
3,5,22,9,1,1,0,1,1,0
4,3,6,10,2,1,0,0,0,1
2,7,15,10,3,0,1,1,1,1
3,5,5,12,1,0,1,1,1,1
4,6,7,12,3,0,1,0,0,1
4,7,23,8,1,0,0,1,2,0
4,6,0,7,3,1,0,0,0,1
3,8,8,11,3,0,1,0,2,0
1,1,3,9,3,0,0,1,2,1
3,4,19,10,3,0,0,1,0,1
4,7,27,10,1,0,1,0,0,1
3,5,8,6,3,1,1,1,0,1
2,9,15,10,2,0,0,1,0,1
1,9,9,7,3,1,0,0,0,1
1,8,11,9,3,1,0,1,2,1
3,7,17,10,2,0,0,0,2,0
1,2,27,6,3,1,1,1,0,1
1,7,26,11,1,1,1,1,1,1
4,4,21,11,1,1,0,0,0,1
4,9,1,6,3,1,1,1,2,1
1,3,8,8,1,0,1,1,1,0
3,3,27,9,3,0,1,0,1,1
1,7,10,10,2,0,0,1,1,1
4,5,11,11,1,1,1,0,1,0
4,1,12,10,3,0,1,0,2,0
1,2,29,9,1,0,0,0,0,0
1,6,18,12,3,1,0,1,1,1
2,9,29,11,2,0,1,1,0,0
2,4,29,7,3,1,1,1,2,1
3,8,10,9,1,0,0,0,1,0
4,7,21,11,1,0,0,0,2,1
4,7,2,12,2,0,1,0,2,1
4,2,4,8,2,0,1,1,2,1
2,9,2,8,3,0,0,1,1,0
3,9,11,8,3,1,0,0,1,0
4,7,12,8,3,1,0,0,2,1
2,6,7,10,3,0,0,0,0,0
3,9,29,8,1,1,0,1,0,0
1,6,19,6,3,1,0,0,1,1
1,1,28,9,2,1,0,1,0,0
1,3,18,10,1,0,0,1,1,1
2,2,12,8,2,1,1,1,1,1
1,3,23,10,1,1,0,1,1,1
1,9,22,6,3,0,1,1,0,1
3,5,16,10,1,0,1,1,1,1
1,8,2,9,3,0,0,0,1,0
1,1,18,9,1,0,1,0,1,0
2,9,19,6,2,0,1,1,2,0
2,9,0,7,3,1,0,0,1,0
2,4,13,12,2,1,0,1,0,0
1,8,25,8,1,0,1,1,0,1
3,9,26,11,2,0,0,0,0,1
4,7,26,11,2,0,1,0,1,0
2,4,8,7,3,0,0,0,1,0
3,9,1,6,3,1,1,1,0,0
1,8,22,11,1,1,1,1,2,1
2,1,17,6,2,1,0,0,0,1
3,6,7,10,1,0,1,0,2,1
4,9,18,10,3,0,0,1,0,1
3,5,21,7,3,0,0,0,2,1
1,2,28,10,2,1,1,0,0,1
2,5,23,9,3,0,0,0,1,0
3,6,14,7,1,1,1,1,0,1
3,5,4,10,2,0,1,0,0,1
3,1,22,9,2,0,1,1,2,1
2,7,11,12,2,0,1,0,0,0
3,5,14,12,2,1,1,0,2,1
1,3,27,8,2,0,0,1,2,1
1,9,24,7,2,1,1,0,2,1
4,4,29,11,2,1,0,1,2,0
4,8,15,9,2,0,0,0,1,0
4,3,4,7,1,1,0,1,2,1
2,5,11,12,3,0,0,0,1,1
1,6,10,7,3,0,1,0,2,1
1,2,14,9,3,1,1,1,0,1
4,4,25,12,3,1,0,1,2,0
4,6,22,6,2,0,0,0,2,1
3,6,7,8,1,1,0,1,1,0
4,2,10,12,2,0,0,1,1,0
2,8,25,6,1,0,0,0,0,1
4,5,3,9,1,1,1,0,2,1
1,4,29,10,1,1,1,0,2,1
2,4,7,12,1,0,0,0,0,0
3,5,23,7,3,1,1,1,1,1
2,6,16,7,3,0,1,0,2,0
3,9,22,11,1,0,0,1,0,1
3,3,21,9,1,0,1,0,1,1
1,4,24,11,2,0,1,1,0,0
2,1,9,9,1,0,1,0,0,1
3,5,7,9,2,0,0,0,2,0
2,9,3,9,3,0,1,1,1,1
3,1,17,7,1,0,0,0,2,0
4,9,2,8,3,0,1,0,1,0
4,1,22,9,3,1,1,1,1,1
2,3,24,6,1,0,0,1,2,1
2,2,11,12,1,0,0,1,0,1
3,7,2,9,3,1,0,1,0,0
3,8,6,7,1,1,0,1,1,1
3,8,9,9,2,1,0,1,2,0
1,7,0,8,1,1,0,1,0,0
1,8,29,7,1,1,1,0,1,0
2,8,27,10,3,1,1,1,1,1
2,9,2,11,3,1,1,1,2,0
4,8,17,7,3,1,1,1,2,1
4,1,21,12,1,1,0,1,0,0
2,2,8,11,2,0,0,0,1,0
3,5,12,6,3,1,0,1,1,0
1,1,18,12,1,0,1,0,1,0
2,4,13,12,1,0,1,1,2,0
2,4,28,10,1,0,1,0,0,1
4,4,23,6,1,0,0,1,0,1
2,6,14,10,3,1,1,0,2,0
4,6,24,6,2,1,1,1,2,0
1,5,23,8,3,1,0,0,0,0
2,7,8,10,2,1,0,1,0,0
1,4,8,10,1,0,0,1,0,0
4,3,2,10,3,0,0,1,0,1
3,2,24,6,3,1,0,1,0,1
3,5,11,11,2,0,1,1,2,1
1,1,16,11,3,1,1,0,2,0
3,7,3,10,2,0,0,0,0,1
1,9,28,11,3,1,1,0,0,0
3,2,11,12,1,1,0,0,1,0
2,3,9,10,3,1,0,1,2,0
4,2,0,11,1,0,1,1,2,1
3,5,17,6,2,0,1,1,1,0
1,2,19,8,1,1,0,1,0,0
4,5,25,7,2,1,1,0,2,1
2,7,7,10,3,1,1,1,1,0
2,7,25,12,1,1,0,0,2,0
1,1,26,6,3,1,1,1,2,1
3,2,21,9,2,0,0,1,1,0
3,3,10,8,1,0,1,0,0,0
4,9,3,10,1,0,1,1,0,1
1,8,19,10,1,1,0,0,2,0
1,1,21,11,3,1,0,0,2,0
4,5,0,10,3,0,0,1,0,0
4,4,20,9,3,0,0,0,2,0
3,6,19,9,2,0,0,1,2,1
4,5,23,12,2,0,1,1,0,0
1,8,9,12,2,1,0,0,1,0
2,5,14,12,1,1,1,1,1,1
2,1,27,11,3,1,1,1,1,0
2,8,24,10,2,1,1,0,1,1
2,4,25,11,3,0,0,0,1,1
1,9,1,8,1,0,0,1,0,1
2,6,1,7,3,0,0,0,2,1
1,3,27,9,2,1,0,0,1,0
3,4,7,10,1,0,1,0,1,1
2,4,5,12,2,0,1,1,1,1
1,5,27,12,2,1,0,1,1,0
3,8,23,6,2,1,1,1,1,0
3,2,14,10,3,1,1,1,1,0
3,9,0,10,1,0,0,1,2,0
2,2,2,8,2,0,1,1,2,0
4,7,29,7,2,0,0,0,1,0
1,1,6,11,1,1,0,1,1,0
2,1,6,9,2,0,1,0,1,0
1,1,20,6,1,0,0,0,1,0
1,8,24,8,2,1,1,0,1,1
4,4,12,8,2,0,0,1,0,0
2,5,1,12,2,0,1,0,1,0
4,5,16,11,3,0,0,0,0,0
3,9,2,11,1,0,1,1,0,0
2,4,22,8,3,1,0,1,0,1
3,7,23,8,3,1,1,1,0,0
4,2,23,8,1,1,1,0,0,1
3,2,11,11,1,1,1,0,0,0
1,7,17,11,1,0,1,0,2,0
4,5,5,12,1,0,1,0,1,1
3,9,4,11,2,1,1,1,0,0
3,4,1,12,3,0,1,1,0,0
3,4,9,11,3,0,0,1,2,0
3,4,16,8,2,1,0,1,0,1
2,7,3,7,3,1,1,1,2,1
3,7,21,7,3,1,1,0,2,0
3,5,8,6,1,0,1,0,2,1
2,7,27,8,2,0,0,0,2,0
3,8,8,9,2,1,0,1,1,1
3,9,11,8,2,0,1,0,1,1
3,1,18,6,2,0,1,0,0,0
2,8,27,11,1,0,0,1,1,1
1,2,26,6,3,1,1,0,1,0
1,6,8,6,2,1,0,1,1,1
2,8,11,12,1,0,0,0,2,1
1,8,5,6,1,0,0,0,0,0
1,8,26,11,3,1,0,1,1,0
2,1,28,9,3,1,0,1,2,1
4,2,23,12,2,1,1,0,1,0
2,5,23,10,2,0,0,0,0,0
1,2,15,7,3,1,1,0,0,0
1,2,2,6,2,0,0,1,1,0
3,9,18,9,3,0,1,1,0,1
4,7,8,7,3,1,0,0,0,0
1,7,25,6,3,1,0,1,2,1
3,8,18,12,2,1,1,0,0,0
4,7,3,12,2,1,1,0,1,0
1,2,14,11,2,0,0,0,2,1
4,3,22,8,1,1,0,0,2,1
3,7,8,11,3,0,0,0,1,1
1,6,27,6,1,1,1,0,2,0
2,2,18,12,3,1,1,1,1,1
2,1,0,11,3,1,0,0,1,1
1,2,17,8,2,1,0,0,1,0
1,3,25,6,2,1,0,0,1,0
3,1,29,7,1,0,0,1,0,0
3,3,19,12,1,0,0,0,1,1
3,1,6,10,3,1,0,0,0,1
1,1,0,9,2,0,1,0,2,0
4,5,13,8,3,0,0,0,0,1
4,1,19,10,1,1,1,1,2,0
1,7,1,9,1,1,1,0,2,1
4,7,22,8,2,1,1,0,1,1
2,1,6,9,1,1,1,0,1,1
1,9,6,8,2,0,1,0,0,1
2,9,11,11,2,1,0,0,0,1
2,2,5,9,1,1,0,0,1,1
2,1,4,6,1,1,0,0,2,1
3,2,2,9,2,1,1,1,2,0
2,5,7,7,3,1,1,0,2,0
3,1,6,12,1,1,1,1,2,1
1,8,1,6,3,0,0,1,1,1
3,1,4,8,3,0,0,0,0,0
4,5,17,11,3,1,1,0,0,1
2,7,18,10,2,0,1,0,1,0
2,1,6,11,2,1,0,1,1,0
4,3,29,9,2,0,1,1,2,1
3,4,9,12,1,0,0,1,0,0
2,5,1,11,1,1,1,0,1,0
3,1,0,12,2,1,0,0,2,1
4,9,14,10,2,1,0,1,2,0
2,9,21,6,3,1,0,1,0,0
4,9,20,9,3,1,1,0,0,1
3,2,6,6,2,1,0,1,1,1
3,1,19,7,2,0,0,1,0,1
3,6,15,9,2,1,1,1,0,1
1,2,1,11,3,1,0,0,1,1
4,5,29,11,2,0,1,1,1,0
3,9,26,10,2,1,1,0,0,0
3,2,22,8,2,0,0,1,2,0
1,2,17,6,3,0,0,0,0,0
1,8,18,12,2,1,1,0,2,1
4,5,20,7,1,1,0,0,0,1
4,1,19,6,1,0,1,1,2,0
3,1,25,10,3,1,1,0,1,0
4,2,27,10,3,0,1,0,0,1
1,9,3,9,3,1,1,0,2,0
2,6,26,10,3,1,0,1,2,0
3,4,17,6,1,1,1,1,0,1
1,3,24,6,3,1,0,0,1,0
1,7,1,9,2,1,0,0,0,0
3,3,8,7,3,1,1,1,0,0
4,8,8,11,1,0,0,1,1,0
3,9,4,7,3,0,0,0,0,1
1,6,7,10,3,0,1,1,0,1
4,3,4,11,1,1,0,1,0,0
1,4,8,8,2,0,1,1,2,0
3,7,5,7,1,1,0,1,0,1
3,4,23,8,1,0,0,0,0,0
4,6,9,12,1,1,0,0,1,0
4,9,6,11,1,1,1,1,2,1
1,7,20,7,2,1,1,1,0,0
2,8,14,12,1,0,1,1,0,1
1,5,12,12,3,0,0,1,2,0
4,1,4,8,1,1,1,1,1,0
3,2,6,12,2,1,0,1,1,1
4,1,5,6,3,1,1,1,2,0
2,8,18,10,1,0,0,1,1,1
2,2,14,10,1,0,0,0,1,0
1,9,24,8,2,0,0,0,0,1
4,4,9,12,2,0,0,1,0,0
3,4,21,10,2,0,0,0,1,0
2,4,28,7,2,0,0,1,2,0
1,3,6,11,1,0,1,1,1,1
